Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.core.option.FontOption,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.option.FontSpec,8,1,1,0,12,8
biz.ganttproject.core.option.FontSpec.Size,8,n/a,3,n/a,4,2
biz.ganttproject.core.option.GPAbstractOption,58,1,8,13,36,28
biz.ganttproject.core.option.GPAbstractOption.I18N,2,1,2,1,2,1
biz.ganttproject.core.option.GPAbstractOption.Listeners,4,1,1,0,7,4
biz.ganttproject.core.option.GPAbstractOption.Listeners.Entry,2,1,1,0,4,3
biz.ganttproject.core.option.GPOption,n/a,n/a,n/a,n/a,19,n/a
biz.ganttproject.core.option.GPOptionChangeListener,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.GPOptionGroup,65,1,4,2,22,21
biz.ganttproject.core.option.IntegerOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ListOption,n/a,n/a,n/a,n/a,7,n/a
biz.ganttproject.core.option.MoneyOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.StringOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ValidationException,11,4,0,0,7,4
biz.ganttproject.core.table.ColumnList,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.table.ColumnList.Column,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.table.ColumnList.ColumnStub,6,1,6,0,12,12
biz.ganttproject.core.table.ColumnList.Immutable,5,1,1,0,1,6
biz.ganttproject.core.time.CalendarFactory,46,1,1,6,11,5
biz.ganttproject.core.time.CalendarFactory.LocaleApi,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.time.DateFrameable,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.time.GanttCalendar,60,3,5,0,35,22
biz.ganttproject.core.time.TimeDuration,n/a,n/a,n/a,n/a,6,n/a
biz.ganttproject.core.time.TimeDurationImpl,6,1,1,0,18,17
biz.ganttproject.core.time.TimeUnit,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.core.time.TimeUnitDateFrameableImpl,6,2,1,1,8,4
biz.ganttproject.core.time.TimeUnitFunctionOfDate,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.time.TimeUnitFunctionOfDateImpl,6,3,2,0,6,3
biz.ganttproject.core.time.TimeUnitFunctionOfDateImpl.ParameterizedTimeUnitImpl,5,1,6,0,22,14
biz.ganttproject.core.time.TimeUnitGraph,9,1,1,0,22,11
biz.ganttproject.core.time.TimeUnitGraph.Composition,3,1,1,0,3,3
biz.ganttproject.core.time.TimeUnitImpl,5,1,6,1,17,13
biz.ganttproject.core.time.TimeUnitPair,8,1,4,0,5,5
biz.ganttproject.core.time.TimeUnitStack,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.time.TimeUnitStack.Util,2,1,1,0,8,5
biz.ganttproject.core.time.impl.FramerImpl,6,1,1,0,10,6
biz.ganttproject.core.time.impl.GPTimeUnitStack,28,1,4,0,45,46
biz.ganttproject.core.time.impl.GregorianTimeUnitStack,15,1,10,0,18,11
biz.ganttproject.core.time.impl.WeekFramerImpl,6,1,1,0,14,8
biz.ganttproject.core.time.impl.WeekFramerImpl.DefaultCalendarFactory,3,1,1,0,2,1
biz.ganttproject.core.time.impl.WeekFramerImpl.ICalendarFactory,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.impex.csv.CsvImportTest,2,3,1,0,21,29
biz.ganttproject.impex.csv.GPCsvExportTest,23,4,2,0,53,11
biz.ganttproject.impex.csv.GPCsvImportTest,24,3,3,0,68,27
